modal,modal_variant,city,color,make,mileage,mileage_unit,price_on_request,carType,condition,currency,drive,country,type,zip,manufacture_month,manufacture_year,fuel_consumption_unit
XJ,Limousine,Zuzwil,White,Jaguar,0,"",false,"","","","","",car,"","","",""
740,Limousine,Zuzwil,Gray,Bmw,0,"",false,"","","","","",car,"","","",""
SLK 55 AMG,Cabriolet,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
X5,SUV / Geländewagen,Zuzwil,Silver,Bmw,0,"",false,"","","","","",car,"","","",""
CLS 63 AMG,Limousine,Zuzwil,White,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
12C,Cabriolet,Zuzwil,Other,Mclaren,0,"",false,"","","","","",car,"","","",""
575M,Coupé,Zuzwil,Other,Ferrari,0,"",false,"","","","","",car,"","","",""
PHAETON,Limousine,Zuzwil,Black,Vw,0,"",false,"","","","","",car,"","","",""
RS4,Cabriolet,Zuzwil,Black,Audi,0,"",false,"","","","","",car,"","","",""
S 320,Limousine,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
ALPINE,Coupé,Zuzwil,Silver,Renault,0,"",false,"","","","","",car,"","","",""
E 55 AMG,Limousine,Zuzwil,Gray,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
A8,Limousine,Zuzwil,Gray,Audi,0,"",false,"","","","","",car,"","","",""
CAPRI,Coupé,Zuzwil,Black,Ford,0,"",false,"","","","","",car,"","","",""
E 240,Limousine,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
SL 600,Cabriolet,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Silver,Porsche,0,"",false,"","","","","",car,"","","",""
CL 500,Coupé,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
E 320,Limousine,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
Dolomite,Limousine,Zuzwil,Silver,Triumph,0,"",false,"","","","","",car,"","","",""
F430,Coupé,Zuzwil,Other,Ferrari,0,"",false,"","","","","",car,"","","",""
XK,Cabriolet,Zuzwil,Gray,Jaguar,0,"",false,"","","","","",car,"","","",""
SL 600,Cabriolet,Zuzwil,Gray,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
"",Coupé,Zuzwil,Red,Marcos,0,"",false,"","","","","",car,"","","",""
S 500,Limousine,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
CORTINA,Limousine,Zuzwil,Gray,Ford,0,"",false,"","","","","",car,"","","",""
R8,Coupé,Zuzwil,Other,Audi,0,"",false,"","","","","",car,"","","",""
MANTA,Coupé,Zuzwil,Black,Opel,0,"",false,"","","","","",car,"","","",""
R 500,Kombi,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
ESCORT,Coupé,Zuzwil,Silver,Ford,0,"",false,"","","","","",car,"","","",""
"",Coupé,Zuzwil,Blue,Ruf,0,"",false,"","","","","",car,"","","",""
ML 63 AMG,SUV / Geländewagen,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
STARION,Coupé,Zuzwil,Red,Mitsubishi,0,"",false,"","","","","",car,"","","",""
E 63 AMG,Limousine,Zuzwil,Red,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
"",Limousine,Zuzwil,Red,Toyota,0,"",false,"","","","","",car,"","","",""
S 500,Limousine,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Silver,Audi,0,"",false,"","","","","",car,"","","",""
CL 600,Coupé,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
ALPINE,Coupé,Zuzwil,Black,Renault,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Black,Porsche,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Silver,Porsche,0,"",false,"","","","","",car,"","","",""
SUNNY,Limousine,Zuzwil,Silver,Nissan,0,"",false,"","","","","",car,"","","",""
ARNAGE,Limousine,Zuzwil,Black,Bentley,0,"",false,"","","","","",car,"","","",""
ARNAGE,Limousine,Zuzwil,Black,Bentley,0,"",false,"","","","","",car,"","","",""
CARINA,Limousine,Zuzwil,Silver,Toyota,0,"",false,"","","","","",car,"","","",""
E 500,Kombi,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
911,Cabriolet,Zuzwil,Black,Porsche,0,"",false,"","","","","",car,"","","",""
CAYENNE,SUV / Geländewagen,Zuzwil,Silver,Porsche,0,"",false,"","","","","",car,"","","",""
C 230,Limousine,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
CAMRY,Limousine,Safenwil,Yellow,Toyota,0,"",false,"","","","","",car,"","","",""
S-CLASS,Limousine,Zuzwil,Gray,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
M6,Cabriolet,Zuzwil,Black,Bmw,0,"",false,"","","","","",car,"","","",""
131,Limousine,Zuzwil,Black,Fiat,0,"",false,"","","","","",car,"","","",""
911,Cabriolet,Zuzwil,Black,Porsche,0,"",false,"","","","","",car,"","","",""
GALLARDO,Coupé,Zuzwil,Silver,Lamborghini,0,"",false,"","","","","",car,"","","",""
CL 500,Coupé,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
F360,Coupé,Zuzwil,Gray,Ferrari,0,"",false,"","","","","",car,"","","",""
Super Seven,Cabriolet,Zuzwil,Gray,Lotus,0,"",false,"","","","","",car,"","","",""
SL 600,Cabriolet,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
"",Cabriolet,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
911,Cabriolet,Zuzwil,Black,Porsche,0,"",false,"","","","","",car,"","","",""
450,Limousine,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
MURCIÉLAGO,Coupé,Zuzwil,Black,Lamborghini,0,"",false,"","","","","",car,"","","",""
SLK 32 AMG,Cabriolet,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
5 SERIES,Limousine,Zuzwil,Silver,Bmw-Alpina,0,"",false,"","","","","",car,"","","",""
CLK 55 AMG,Coupé,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
SL 55 AMG,Cabriolet,Zuzwil,Gray,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
CLS 63 AMG,Limousine,Zuzwil,Other,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
CHARADE,Kleinwagen,Zuzwil,Blue,Daihatsu,0,"",false,"","","","","",car,"","","",""
RANGE ROVER SPORT,SUV / Geländewagen,Zuzwil,Silver,Land Rover,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Silver,Porsche,0,"",false,"","","","","",car,"","","",""
CL 600,Coupé,Zuzwil,White,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Blue,Audi,0,"",false,"","","","","",car,"","","",""
SL 600,Cabriolet,Zuzwil,Other,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
E 50 AMG,Limousine,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Black,Audi,0,"",false,"","","","","",car,"","","",""
330,Coupé,Zuzwil,Black,Bmw,0,"",false,"","","","","",car,"","","",""
CAPRI,Coupé,Zuzwil,Blue,Ford,0,"",false,"","","","","",car,"","","",""
ELISE,Cabriolet,Zuzwil,Blue,Lotus,0,"",false,"","","","","",car,"","","",""
GALLARDO,Coupé,Zuzwil,Blue,Lamborghini,0,"",false,"","","","","",car,"","","",""
M3,Limousine,Zuzwil,Other,Bmw,0,"",false,"","","","","",car,"","","",""
Grand Cherokee,SUV / Geländewagen,Zuzwil,Black,Jeep,0,"",false,"","","","","",car,"","","",""
M6,Cabriolet,Zuzwil,Black,Bmw,0,"",false,"","","","","",car,"","","",""
CL 500,Coupé,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
CAYENNE,SUV / Geländewagen,Zuzwil,White,Porsche,0,"",false,"","","","","",car,"","","",""
RANGE ROVER,SUV / Geländewagen,Zuzwil,Blue,Land Rover,0,"",false,"","","","","",car,"","","",""
ALPINE,Coupé,Zuzwil,Blue,Renault,0,"",false,"","","","","",car,"","","",""
QUATTROPORTE,Limousine,Zuzwil,Brown,Maserati,0,"",false,"","","","","",car,"","","",""
S 500,Limousine,Zuzwil,Gray,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
DIABLO,Coupé,Porrentruy,Black,Lamborghini,0,"",false,"","","","","",car,"","","",""
DIABLO,Coupé,Zuzwil,Blue,Lamborghini,0,"",false,"","","","","",car,"","","",""
575M,Coupé,Zuzwil,White,Ferrari,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,White,Audi,0,"",false,"","","","","",car,"","","",""
SL 500,Cabriolet,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Gray,Porsche,0,"",false,"","","","","",car,"","","",""
CAYENNE,SUV / Geländewagen,Zuzwil,Black,Porsche,0,"",false,"","","","","",car,"","","",""
X5,SUV / Geländewagen,Zuzwil,Black,Bmw,0,"",false,"","","","","",car,"","","",""
G 55 AMG,SUV / Geländewagen,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
GRANSPORT,Coupé,Zuzwil,Silver,Maserati,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Blue,Porsche,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Gray,Porsche,0,"",false,"","","","","",car,"","","",""
CLS 500,Limousine,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
740,Limousine,Zuzwil,Black,Bmw,0,"",false,"","","","","",car,"","","",""
F360,Coupé,Zuzwil,Silver,Ferrari,0,"",false,"","","","","",car,"","","",""
A8,Limousine,Zuzwil,Silver,Audi,0,"",false,"","","","","",car,"","","",""
E 420,Limousine,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
944,Cabriolet,Zuzwil,Red,Porsche,0,"",false,"","","","","",car,"","","",""
SL 600,Cabriolet,Zuzwil,Red,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
SL 500,Cabriolet,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
R5,Kleinwagen,Zuzwil,Black,Renault,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Black,Audi,0,"",false,"","","","","",car,"","","",""
E 320,Limousine,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
500,Limousine,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
728,Limousine,Zuzwil,White,Bmw,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Blue,Porsche,0,"",false,"","","","","",car,"","","",""
GALLARDO,Coupé,Zuzwil,Black,Lamborghini,0,"",false,"","","","","",car,"","","",""
SL 500,Cabriolet,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
ELISE,Cabriolet,Zuzwil,Black,Lotus,0,"",false,"","","","","",car,"","","",""
CAYENNE,SUV / Geländewagen,Zuzwil,Silver,Porsche,0,"",false,"","","","","",car,"","","",""
E 230,Kombi,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
530,Kombi,Zuzwil,Blue,Bmw,0,"",false,"","","","","",car,"","","",""
F355,Coupé,Zuzwil,Yellow,Ferrari,0,"",false,"","","","","",car,"","","",""
CORVETTE,Coupé,Zuzwil,Other,Chevrolet,0,"",false,"","","","","",car,"","","",""
SLK 230,Cabriolet,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
MONDIAL,Coupé,Zuzwil,Silver,Ferrari,0,"",false,"","","","","",car,"","","",""
SL 600,Cabriolet,Zuzwil,White,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
X5,SUV / Geländewagen,Zuzwil,Black,Bmw,0,"",false,"","","","","",car,"","","",""
CL 600,Coupé,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
SL 63 AMG,Cabriolet,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
M3,Cabriolet,Zuzwil,Silver,Bmw,0,"",false,"","","","","",car,"","","",""
SL 55 AMG,Cabriolet,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
SL 600,Cabriolet,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
"",Wohnkabine,Zuzwil,Blue,Giottiline,0,"",false,"","","","","",car,"","","",""
V8 Vantage,Coupé,Zuzwil,Black,Aston Martin,0,"",false,"","","","","",car,"","","",""
R8,Coupé,Zuzwil,Black,Audi,0,"",false,"","","","","",car,"","","",""
ARNAGE,Limousine,Zuzwil,Silver,Bentley,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Gray,Audi,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Red,Audi,0,"",false,"","","","","",car,"","","",""
760,Limousine,Zuzwil,Black,Bmw,0,"",false,"","","","","",car,"","","",""
QUATTROPORTE,Limousine,Zuzwil,Black,Maserati,0,"",false,"","","","","",car,"","","",""
X5,SUV / Geländewagen,Zuzwil,Black,Bmw,0,"",false,"","","","","",car,"","","",""
12C,Coupé,Zuzwil,White,Mclaren,0,"",false,"","","","","",car,"","","",""
ARNAGE,Limousine,Zuzwil,White,Bentley,0,"",false,"","","","","",car,"","","",""
ALPINE,Coupé,Zuzwil,White,Renault,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Gray,Audi,0,"",false,"","","","","",car,"","","",""
9-3,Cabriolet,Zuzwil,Other,Saab,0,"",false,"","","","","",car,"","","",""
DIABLO,Cabriolet,Porrentruy,Black,Lamborghini,0,"",false,"","","","","",car,"","","",""
CLK 63 AMG,Coupé,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
CONTINENTAL,Cabriolet,Zuzwil,Black,Bentley,0,"",false,"","","","","",car,"","","",""
DB9,Cabriolet,Zuzwil,Blue,Aston Martin,0,"",false,"","","","","",car,"","","",""
CARRERA GT,Cabriolet,Zuzwil,Silver,Porsche,0,"",false,"","","","","",car,"","","",""
458,Coupé,Zuzwil,Blue,Ferrari,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Blue,Audi,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Gray,Audi,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Gray,Porsche,0,"",false,"","","","","",car,"","","",""
Z4,Cabriolet,Zuzwil,Other,Bmw,0,"",false,"","","","","",car,"","","",""
ARNAGE,Limousine,Zuzwil,Red,Bentley,0,"",false,"","","","","",car,"","","",""
SUNNY,Limousine,Zuzwil,Black,Nissan,0,"",false,"","","","","",car,"","","",""
IBIZA,Kleinwagen,Zuzwil,Black,Seat,0,"",false,"","","","","",car,"","","",""
XJ,Limousine,Zuzwil,Other,Daimler,0,"",false,"","","","","",car,"","","",""
MATRA,Coupé,Zuzwil,Gray,Talbot,0,"",false,"","","","","",car,"","","",""
GTV,Coupé,Zuzwil,Black,Alfa Romeo,0,"",false,"","","","","",car,"","","",""
E,Cabriolet,Zuzwil,Black,Jaguar,0,"",false,"","","","","",car,"","","",""
E 55 AMG,Limousine,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
COUPÉ GT,Coupé,Zuzwil,White,Maserati,0,"",false,"","","","","",car,"","","",""
911,Cabriolet,Zuzwil,Blue,Porsche,0,"",false,"","","","","",car,"","","",""
CAYENNE,SUV / Geländewagen,Zuzwil,Red,Porsche,0,"",false,"","","","","",car,"","","",""
RS5,Coupé,Zuzwil,Black,Audi,0,"",false,"","","","","",car,"","","",""
ALPINE,Coupé,Zuzwil,Silver,Renault,0,"",false,"","","","","",car,"","","",""
CAYENNE,SUV / Geländewagen,Zuzwil,Silver,Porsche,0,"",false,"","","","","",car,"","","",""
RANGE ROVER SPORT,SUV / Geländewagen,Zuzwil,Blue,Land Rover,0,"",false,"","","","","",car,"","","",""
S 65 AMG,Limousine,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
CAYENNE,SUV / Geländewagen,Zuzwil,Silver,Porsche,0,"",false,"","","","","",car,"","","",""
Alpine A110,Coupé,Zuzwil,Silver,Renault,0,"",false,"","","","","",car,"","","",""
S 65 AMG,Limousine,Zuzwil,White,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
TURBO,Limousine,Zuzwil,Red,Bentley,0,"",false,"","","","","",car,"","","",""
RANGE ROVER,SUV / Geländewagen,Zuzwil,Red,Land Rover,0,"",false,"","","","","",car,"","","",""
E 63 AMG,Limousine,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Blue,Audi,0,"",false,"","","","","",car,"","","",""
S 320,Limousine,Zuzwil,Gray,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
F355,Cabriolet,Zuzwil,Red,Ferrari,0,"",false,"","","","","",car,"","","",""
F40 / F50,Coupé,Sursee,Black,Ferrari,0,"",false,"","","","","",car,"","","",""
DELTA,Limousine,Zuzwil,Blue,Lancia,0,"",false,"","","","","",car,"","","",""
COUPÉ GT,Coupé,Zuzwil,Blue,Maserati,0,"",false,"","","","","",car,"","","",""
328,Limousine,Zuzwil,Silver,Bmw,0,"",false,"","","","","",car,"","","",""
320,Limousine,Zuzwil,White,Bmw,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Blue,Audi,0,"",false,"","","","","",car,"","","",""
R12,Limousine,Zuzwil,Black,Renault,0,"",false,"","","","","",car,"","","",""
RS4,Kombi,Zuzwil,Black,Audi,0,"",false,"","","","","",car,"","","",""
SL 600,Cabriolet,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
F550,Coupé,Zuzwil,Gray,Ferrari,0,"",false,"","","","","",car,"","","",""
S 63 AMG,Limousine,Zuzwil,Red,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
M3,Limousine,Zuzwil,Black,Bmw,0,"",false,"","","","","",car,"","","",""
523,Kombi,Zuzwil,Black,Bmw,0,"",false,"","","","","",car,"","","",""
QUATTRO,Coupé,Zuzwil,Silver,Audi,0,"",false,"","","","","",car,"","","",""
MR2,Coupé,Zuzwil,Yellow,Toyota,0,"",false,"","","","","",car,"","","",""
612,Coupé,Zuzwil,Gray,Ferrari,0,"",false,"","","","","",car,"","","",""
SL 500,Cabriolet,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
CELICA,Coupé,Zuzwil,Blue,Toyota,0,"",false,"","","","","",car,"","","",""
GRANTURISMO,Coupé,Zuzwil,Black,Maserati,0,"",false,"","","","","",car,"","","",""
2002,Limousine,Zuzwil,Silver,Bmw,0,"",false,"","","","","",car,"","","",""
A8,Limousine,Zuzwil,White,Audi,0,"",false,"","","","","",car,"","","",""
A8,Limousine,Zuzwil,White,Audi,0,"",false,"","","","","",car,"","","",""
S 320,Limousine,Zuzwil,Other,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
S 500,Limousine,Zuzwil,Gray,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
GALLARDO,Cabriolet,Zuzwil,Gray,Lamborghini,0,"",false,"","","","","",car,"","","",""
RANGE ROVER,SUV / Geländewagen,Zuzwil,Other,Land Rover,0,"",false,"","","","","",car,"","","",""
SL 55 AMG,Cabriolet,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
SL 65 AMG,Coupé,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
SL 500,Cabriolet,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
F355,Coupé,Zuzwil,Silver,Ferrari,0,"",false,"","","","","",car,"","","",""
SL 55 AMG,Cabriolet,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
A8,Limousine,Zuzwil,Blue,Audi,0,"",false,"","","","","",car,"","","",""
F360,Coupé,Zuzwil,Other,Ferrari,0,"",false,"","","","","",car,"","","",""
M5,Limousine,Zuzwil,Other,Bmw,0,"",false,"","","","","",car,"","","",""
"",Limousine,Zuzwil,Other,Lancia,0,"",false,"","","","","",car,"","","",""
CORVETTE,Coupé,Zuzwil,Blue,Chevrolet,0,"",false,"","","","","",car,"","","",""
SL 65 AMG,Coupé,Zuzwil,Red,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
190,Limousine,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
PHAETON,Limousine,Zuzwil,Blue,Vw,0,"",false,"","","","","",car,"","","",""
F360,Cabriolet,Zuzwil,Red,Ferrari,0,"",false,"","","","","",car,"","","",""
A6,Kombi,Zuzwil,Red,Audi,0,"",false,"","","","","",car,"","","",""
MURCIÉLAGO,Coupé,Zuzwil,Black,Lamborghini,0,"",false,"","","","","",car,"","","",""
ESCORT,Limousine,Zuzwil,Black,Ford,0,"",false,"","","","","",car,"","","",""
ESPRIT,Coupé,Zuzwil,Black,Lotus,0,"",false,"","","","","",car,"","","",""
735,Limousine,Zuzwil,Silver,Bmw,0,"",false,"","","","","",car,"","","",""
SL 500,Cabriolet,Zuzwil,Other,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
CLS 55 AMG,Limousine,Zuzwil,Other,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
E 55 AMG,Limousine,Zuzwil,Other,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
Mulsanne,Limousine,Zuzwil,Red,Bentley,0,"",false,"","","","","",car,"","","",""
